@relation segment

@attribute original numeric
@attribute Sobel_filter_0.0 numeric
@attribute Gaussian_blur_1.0 numeric
@attribute Sobel_filter_1.0 numeric
@attribute Derivatives_2_2_1.0 numeric
@attribute Derivatives_3_3_1.0 numeric
@attribute Derivatives_4_4_1.0 numeric
@attribute Derivatives_5_5_1.0 numeric
@attribute Gaussian_blur_2.0 numeric
@attribute Sobel_filter_2.0 numeric
@attribute Difference_of_gaussians_2.0_1.0 numeric
@attribute Derivatives_2_2_2.0 numeric
@attribute Derivatives_3_3_2.0 numeric
@attribute Derivatives_4_4_2.0 numeric
@attribute Derivatives_5_5_2.0 numeric
@attribute Gaussian_blur_4.0 numeric
@attribute Sobel_filter_4.0 numeric
@attribute Difference_of_gaussians_4.0_1.0 numeric
@attribute Difference_of_gaussians_4.0_2.0 numeric
@attribute Derivatives_2_2_4.0 numeric
@attribute Derivatives_3_3_4.0 numeric
@attribute Derivatives_4_4_4.0 numeric
@attribute Derivatives_5_5_4.0 numeric
@attribute Gaussian_blur_8.0 numeric
@attribute Sobel_filter_8.0 numeric
@attribute Difference_of_gaussians_8.0_1.0 numeric
@attribute Difference_of_gaussians_8.0_2.0 numeric
@attribute Difference_of_gaussians_8.0_4.0 numeric
@attribute Derivatives_2_2_8.0 numeric
@attribute Derivatives_3_3_8.0 numeric
@attribute Derivatives_4_4_8.0 numeric
@attribute Derivatives_5_5_8.0 numeric
@attribute Gaussian_blur_16.0 numeric
@attribute Sobel_filter_16.0 numeric
@attribute Difference_of_gaussians_16.0_1.0 numeric
@attribute Difference_of_gaussians_16.0_2.0 numeric
@attribute Difference_of_gaussians_16.0_4.0 numeric
@attribute Difference_of_gaussians_16.0_8.0 numeric
@attribute Derivatives_2_2_16.0 numeric
@attribute Derivatives_3_3_16.0 numeric
@attribute Derivatives_4_4_16.0 numeric
@attribute Derivatives_5_5_16.0 numeric
@attribute class {vessel,nonvascular,background}

@data
246,8.485281,246.151688,11.285769,-0.827072,0.130964,-1.396015,-1.080793,245.979446,36.659122,0.172241,0.00079,-0.062682,-0.029015,-0.013102,237.81723,77.115334,8.334457,8.162216,0.017263,-0.000632,0.000097,-0.000058,209.682892,84.056343,36.468796,36.296555,28.134338,0.002372,-0.000025,0.000002,0,162.342087,37.593815,83.809601,83.63736,75.475143,47.340805,0.000199,-0.000002,0,0,vessel
246,53.009434,245.277679,60.516792,0.243246,-2.005307,-2.155912,-1.850271,240.338425,98.631294,4.939255,0.139754,-0.003807,0.030202,-0.001312,225.608887,129.525467,19.668793,14.729538,-0.001266,-0.002278,-0.000031,-0.000057,196.633011,108.909836,48.644669,43.705414,28.975876,0.001542,-0.000057,-0.000001,0,155.839264,45.482048,89.438416,84.499161,69.769623,40.793747,0.000175,-0.000002,0,0,vessel
238,70.767227,238.561203,75.317352,-0.300731,3.63235,-14.430008,0.350996,237.407318,100.888031,1.153885,0.111116,0.055282,0.040231,0.070237,223.448807,121.932426,15.112396,13.958511,-0.014641,-0.002512,-0.000177,-0.000052,194.852982,102.705978,43.708221,42.554337,28.595825,0.001229,-0.000074,-0.000002,0,154.028381,44.806168,84.532822,83.378937,69.420425,40.8246,0.000164,-0.000002,0,0,vessel
238,138.592926,236.020309,137.687744,1.148193,5.434629,21.151012,25.229086,228.730499,131.894028,7.28981,-0.021219,0.049915,0.012313,0.057407,217.520584,123.563278,18.499725,11.209915,-0.026831,-0.002746,-0.000329,-0.000048,191.454086,98.072525,44.566223,37.276413,26.066498,0.000909,-0.000091,-0.000003,0,151.726547,44.447765,84.293762,77.003952,65.794037,39.727539,0.000151,-0.000002,0,0,vessel
212,181.019333,213.039474,175.575409,-1.099125,-0.496915,-11.091061,-6.511444,215.032944,149.182968,-1.993469,-0.200559,-0.016473,-0.040468,-0.022757,208.612366,125.146111,4.427109,6.420578,-0.035929,-0.002871,-0.000449,-0.000043,186.506439,94.571823,26.533035,28.526505,22.105927,0.000605,-0.000106,-0.000004,0,148.93103,44.351791,64.108444,66.101913,59.681335,37.575409,0.000137,-0.000002,0,0,vessel
183,78.714676,182.767395,84.347626,0.373261,1.875578,2.975995,-4.595798,181.451035,114.02935,1.31636,-0.122438,0.019616,0.014598,0.020731,176.713501,131.203705,6.053894,4.737534,-0.028768,-0.001695,-0.000193,-0.000006,163.714661,98.311806,19.052734,17.736374,12.99884,0.000092,-0.00012,-0.000004,0,137.523834,47.821194,45.243561,43.9272,39.189667,26.190826,0.000101,-0.000002,0,0,vessel
169,96.82975,169.587387,98.443352,0.026561,-2.59806,-9.887991,-51.675503,169.946045,108.5336,-0.358658,0.035634,0.095504,0.027106,0.025235,163.408829,108.422569,6.178558,6.537216,-0.010747,0.001105,0.000028,0.000072,151.484711,83.260857,18.102676,18.461334,11.924118,0.000095,-0.000113,-0.000003,0,129.952072,45.896149,39.635315,39.993973,33.456757,21.532639,0.000069,-0.000001,0,0,vessel
165,97.200821,164.754364,99.751007,-1.108051,1.686601,-6.012964,18.575779,162.986984,109.681137,1.76738,0.006883,0.051528,-0.020227,-0.00452,157.635681,101.672958,7.118683,5.351303,0.001046,0.002597,0.000088,0.000088,145.878326,74.77446,18.876038,17.108658,11.757355,0.000191,-0.000103,-0.000001,0,125.883438,44.530289,38.870926,37.103546,31.752243,19.994888,0.000053,-0.000001,0,0,vessel
161,101.390335,160.295792,101.825729,-0.329163,2.082215,9.175409,28.296474,157.137268,104.1269,3.158524,-0.041974,-0.005704,-0.037721,-0.020294,152.712921,95.90596,7.58287,4.424347,0.012611,0.003821,0.000067,0.000085,140.986847,66.443413,19.308945,16.150421,11.726074,0.000336,-0.000089,0,0,121.737152,42.894497,38.55864,35.400116,30.975769,19.249695,0.000036,-0.000001,0,0,vessel
159,98.508881,158.269684,97.862549,0.14353,-2.246948,-1.732233,-28.477951,154.169693,96.368912,4.099991,-0.06461,-0.042526,-0.017767,-0.021422,149.107025,91.33815,9.162659,5.062668,0.022936,0.004572,-0.000032,0.00007,136.953262,58.930717,21.316422,17.216431,12.153763,0.000514,-0.000071,0.000002,0,117.582085,41.068119,40.687599,36.587608,31.52494,19.371178,0.000018,-0.000001,0,0,vessel
159,90.022217,158.114624,90.024376,0.2355,-0.348256,-0.882655,6.547456,153.263123,90.590942,4.851501,-0.065589,-0.046919,0.008218,-0.013394,146.947922,88.869423,11.166702,6.315201,0.031669,0.004716,-0.000165,0.000056,133.805588,52.718754,24.309036,19.457535,13.142334,0.000705,-0.000052,0.000003,0,113.467712,39.181747,44.646912,39.79541,33.480209,20.337875,0.000001,-0.000001,0,0,vessel
159,88,158.111343,87.680565,0.275303,-0.189299,-0.356224,2.945666,153.069229,87.633347,5.042114,-0.073069,-0.022761,0.015388,0.005044,146.008377,88.321342,12.102966,7.060852,0.038959,0.004202,-0.000265,0.00005,131.453033,47.910549,26.65831,21.616196,14.555344,0.000888,-0.000032,0.000005,0,109.419991,37.397709,48.691353,43.649239,36.588387,22.033043,-0.000016,-0.000001,0,0,vessel
159,88,158.111343,87.891022,0.09334,-0.187852,0.162389,-18.021446,153.099548,87.951736,5.011795,-0.092307,0.01217,0.007918,0.025127,146.105347,88.847015,12.005997,6.994202,0.045073,0.003053,-0.000267,0.000048,129.680176,44.164841,28.431168,23.419373,16.425171,0.001042,-0.000011,0.000006,0,105.440147,35.88586,52.671196,47.659401,40.665199,24.240028,-0.000032,-0.000001,0,0,vessel
159,98.508881,158.127701,97.184433,-0.196647,3.54076,1.50631,27.188879,153.808807,91.962822,4.318893,-0.093165,0.031822,0.0042,0.011065,147.306091,89.341736,10.821609,6.502716,0.049986,0.001372,-0.000131,0.000038,128.147522,41.010639,29.980179,25.661285,19.158569,0.001146,0.000008,0.000006,0,101.506516,34.798294,56.621185,52.302292,45.799576,26.641006,-0.000048,-0.000001,0,0,vessel
159,112.924751,158.893036,109.513542,-0.010752,0.079227,-2.7697,21.746439,156.989594,96.11113,1.903442,-0.035359,0.026372,0.003856,-0.047175,149.536911,87.352722,9.356125,7.452682,0.05311,-0.00064,0.000132,0.000007,126.410797,38.580879,32.482239,30.578796,23.126114,0.001187,0.000026,0.000006,0,97.579063,34.24725,61.313972,59.41053,51.957848,28.831734,-0.000063,-0.000001,0,0,vessel
151,191.02356,150.797485,188.11438,0.997572,1.941148,-1.169967,35.244003,147.471313,174.574524,3.326172,0.05779,0.031812,0.016608,-0.074777,137.834229,136.166779,12.963257,9.637085,0.039802,-0.001617,0.000131,0.000059,118.345512,58.432648,32.451973,29.125801,19.488716,0.001669,0.000028,0.000006,0,91.795815,35.116116,59.001671,55.675499,46.038414,26.549698,-0.00007,-0.000001,0,0,vessel
169,152.31546,166.080185,153.138443,4.402301,-5.985715,31.353136,-23.822069,154.164398,156.375534,11.915787,0.223653,0.051606,0.038581,-0.080483,139.547958,127.54689,26.532227,14.61644,0.039072,-0.003765,0.000439,-0.000015,115.538895,56.324169,50.54129,38.625504,24.009064,0.001518,0.000035,0.000005,0,87.870468,35.654526,78.209717,66.29393,51.67749,27.668427,-0.000083,-0.000001,0,0,vessel
125,320.390381,125.934196,308.774017,0.343692,-3.158147,-23.413034,-43.585041,126.343826,246.15036,-0.40963,0.069943,0.06256,0.076894,-0.032511,120.055786,160.601227,5.87841,6.28804,0.024205,-0.002778,0.000014,0.000057,108.071175,68.19397,17.863022,18.272652,11.984612,0.001879,0.000017,0.000005,0,85.658669,36.466141,40.275528,40.685158,34.397118,22.412506,-0.000075,-0.000001,0,0,vessel
96,219.257843,96.229691,211.987564,0.859835,-8.677723,2.997201,-68.63044,98.161743,172.63765,-1.932053,-0.101393,-0.123545,-0.005804,-0.111219,99.46563,120.63031,-3.235939,-1.303886,0.014819,-0.005286,0.000087,-0.000093,93.459053,64.831184,2.770638,4.70269,6.006577,0.001507,-0.000006,0.000002,0,75.164429,38.93404,21.065262,22.997314,24.301201,18.294624,-0.000086,-0.000001,0,0,vessel
85,116.619041,86.398659,117.187691,-2.119963,-3.760082,-10.266746,19.319784,92.299828,116.133041,-5.901169,-0.041082,-0.142331,-0.084199,-0.071727,95.629532,100.232353,-9.230873,-3.329704,0.016099,-0.00604,0.000329,-0.000172,88.235527,66.081306,-1.836868,4.064301,7.394005,0.001114,-0.000009,0.000001,0,70.826576,40.317207,15.572083,21.473251,24.802956,17.408951,-0.000094,0,0,0,vessel
85,12,84.980377,14.645575,1.954553,2.168925,-0.974713,20.39436,84.14727,33.551826,0.833107,0.160177,-0.004014,0.035796,0.04135,82.264008,64.52433,2.71637,1.883263,0.017146,-0.004611,0.000391,-0.000136,76.699982,64.035805,8.280396,7.447289,5.564026,0.000862,-0.00003,0,0,63.909908,41.349155,21.070469,20.237362,18.354099,12.790073,-0.000091,0,0,0,vessel
79,69.296463,79.04966,69.261894,0.762781,1.334099,-4.92338,11.387818,77.590584,70.460861,1.459076,0.285207,0.038477,0.037221,0.024695,71.771248,68.478867,7.278412,5.819336,0.022358,-0.002528,0.000571,-0.000061,65.770279,63.471363,13.279381,11.820305,6.000969,0.000606,-0.000045,0,0,56.893982,41.64888,22.155678,20.696602,14.877266,8.876297,-0.000085,0,0,0,vessel
74,78.294319,73.769035,76.8993,-0.382682,-0.031222,1.933921,6.732351,72.623909,70.990051,1.145126,0.19323,-0.000823,-0.010086,-0.037809,68.902,62.958672,4.867035,3.721909,0.024169,-0.000938,0.000485,0.000016,62.364052,58.190571,11.404984,10.259857,6.537949,0.000723,-0.000057,0,0,54.514271,40.49477,19.254765,18.109638,14.38773,7.849781,-0.000075,0,0,0,vessel
74,69.180923,73.361908,68.48587,-0.822091,-2.340106,-1.165166,-11.490256,70.326828,66.261337,3.03508,0.112943,-0.019432,-0.033091,-0.043505,66.799644,61.914509,6.562263,3.527184,0.02375,0.000426,0.000352,0.000071,59.331551,54.316879,14.030357,10.995277,7.468094,0.000789,-0.000064,0,0,52.107498,39.085976,21.25441,18.21933,14.692146,7.224052,-0.000065,0,0,0,vessel
74,64,73.353699,64.611748,0.150898,-1.204053,-2.193277,-14.978087,69.78994,67.074898,3.563759,0.078714,-0.004411,-0.013539,-0.013505,65.037384,64.628899,8.316315,4.752556,0.021495,0.001274,0.000204,0.000093,56.604725,52.077091,16.748974,13.185215,8.432659,0.000803,-0.000067,0.000001,0,49.734959,37.486023,23.61874,20.054981,15.302425,6.869766,-0.000055,0,0,0,vessel
74,82,73.121094,81.614136,1.691279,3.05037,5.118225,27.814226,68.41069,78.739655,4.710403,0.056882,0.018881,0.012116,0.010982,62.789261,70.189171,10.331833,5.621429,0.017811,0.001525,0.000066,0.000083,54.045643,51.189102,19.075451,14.365047,8.743618,0.000767,-0.000067,0.000001,0,47.450653,35.768341,25.670441,20.960037,15.338608,6.59499,-0.000045,0,0,0,vessel
74,26.305893,74.377724,28.780043,-0.306158,-1.566341,-4.035636,-23.349085,74.876869,41.975239,-0.499146,0.031113,0.032975,-0.012994,-0.01049,69.78286,44.902172,4.594864,5.094009,0.014655,0.002262,0.00005,0.000109,59.245205,40.479416,15.132519,15.631664,10.537655,0.000896,-0.000067,0,0,51.205872,34.653881,23.171852,23.670998,18.576988,8.039333,-0.000042,-0.000001,0,0,vessel
79,70.724815,77.937111,70.162399,1.383236,4.568211,8.152684,29.641447,72.912926,65.683334,5.024185,0.020092,0.041176,-0.005913,0.018929,67.325356,55.088413,10.611755,5.58757,0.011823,0.002039,0.000018,0.000069,56.777412,40.659794,21.159698,16.135513,10.547943,0.000749,-0.000064,0,0,48.88699,32.791958,29.050121,24.025936,18.438366,7.890423,-0.000034,-0.000001,0,0,vessel
79,46.669048,78.165169,47.100952,1.163104,2.913828,10.882293,9.836933,74.946419,47.613373,3.21875,0.070539,0.013708,0.000791,0.017229,69.332794,39.645676,8.832375,5.613625,0.00729,0.001883,0.000104,0.000023,58.113434,29.775524,20.051735,16.832985,11.21936,0.000568,-0.000055,0,0,49.903164,29.457905,28.262005,25.043255,19.42963,8.21027,-0.000023,-0.000001,0,0,vessel
79,44,77.738876,42.988838,1.049871,0.535112,9.94385,-1.39001,73.15229,38.048237,4.586586,0.113656,-0.025021,0.032758,-0.01872,68.136604,28.570688,9.602272,5.015686,0.004419,0.001405,0.000179,-0.000002,58.100365,19.986366,19.638512,15.051926,10.03624,0.000265,-0.000043,-0.000001,0,50.579014,25.948208,27.159863,22.573277,17.55759,7.521351,-0.000014,-0.000001,0,0,vessel
68,42,68.375694,41.889683,0.632749,-0.246298,-7.037806,1.044566,67.887779,39.22366,0.487915,0.048255,-0.018372,0.0193,-0.01396,64.350479,29.952406,4.025215,3.5373,0.001779,0.000828,0.000102,-0.000011,56.087234,20.24547,12.28846,11.800545,8.263245,-0.00003,-0.000038,-0.000002,0,48.717709,24.020498,19.657986,19.170071,15.632771,7.369526,-0.000009,-0.000001,0,0,vessel
